,seq,id_code,rock_type,grain_size,rock_water_ratio,rpm,water_replacement,pressure_cooked,label_code,date,time,min,day,duration_min,TA_umol_kg,TA_after_replaced_umol_kg,sd_TA_percentage,TA_AWR_umol_kg,duration_day,ec_uS_cm,pH,temperature_c,pCO2_ppm,DSi_umol_l,Na_umol_l,NH4_umol_l,K_umol_l,Ca_umol_l,Mg_umol_l,F_umol_l,Cl_umol_l,NO2_umol_l,Br_umol_l,NO3_umol_l,PO43_umol_l,SO42_umol_l,ssa_m2_g,legend_day,cation_meq_l,anion_meq_l,CBE_percent
1,1,BF-13-50,basalt,fine,1 to 3,50,yes,no,miliq,17.01.22,0,0,0,0,0,,20.05,0,0,3.1,5.6,20.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,10.577,Day 0,0,0,NA
2,2,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 1,17.01.22,13:27,60,0.04,60,1992.65,,18.23,0,0.04,300.5,9.311,20.05,NA,184.87,2472.507,0,162.92,68.514,79.9825,9.358,206.951,3.528,0,19.955,0,254.1095,10.577,Day 0,2932.42,2727.775,3.61551147972817
3,3,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 2,17.01.22,14:56,120,0.08,120,2434,,21.7,0,0.08,323,9.177,21.05,NA,198.653,2657.2615,0,176.052,65.634,96.8935,9.449,209.8455,5.891,0,19.779,0,256.2575,10.577,Day 0,3158.3685,3176.1395,-0.280542703553302
4,4,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 3,17.01.22,16:30,180,0.13,180,2654.6,,24.34,0,0.13,341,9.047,19.55,NA,206.4355,2821.739,0,182.3975,96.777,114.47,8.736,209.7475,3.42,0,16.9605,0,260.419,10.577,Day 0,3426.6305,3402.146,0.358548855713765
5,5,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 4,17.01.22,18:03,240,0.17,240,2960.9,,21.27,0,0.17,367,8.847,20.5,NA,210.597,3013.996,0,197.694,115.5485,147.998,9.136,216.116,6.321,0,18.7945,0,259.722,10.577,Day 0,3738.783,3715.2545,0.315647727825361
6,6,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 5,18.01.22,12:00,1317,0.91,1440,4083.15,2808.55,20.07,4083.15,1,468.25,8.557,20.575,NA,238.127,3716.926,0,242.642,201.252,277.0655,8.111,231.248,4.891,0,12.567,0,283.3405,10.577,Day 1,4916.203,4893.646,0.229942377298559
7,7,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 8,19.01.22,08:55,2458,1.71,2880,3705.25,2491,20.85,2357.8105,2,408.5,8.54,20.7,NA,236.4205,3116.9775,0,219.8535,217.2235,284.4805,7.848,164.895,0,0,15.6465,0,200.8955,10.577,Day 2,4340.239,4287.5825,0.610310493790351
8,8,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 10,20.01.22,11:05,3922,2.72,4320,3495.3,2251.40,24.91,2272.5675,3,369.25,8.516,19.425,NA,231.212,2584.8315,0,189.9745,240.8075,316.929,6.553,106.9935,1.12,0,4.9895,0,149.9685,10.577,Day 3,3890.279,3907.22,-0.217261970793465
9,9,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 12,21.01.22,08:13,5070,3.52,5760,3118.85,1921.10,19.6,1965.401,4,318.5,8.508,19.1,NA,222.5425,2080.5455,0,166.6405,264.315,317.712,6.149,83.7295,1.805,0,5.5145,0,103.6175,10.577,Day 4,3411.24,3415.329,-0.0598983178812005
10,10,BF-13-50,basalt,fine,1 to 3,50,yes,no,B 1-3 14,24.01.22,08:13,9350,6.49,10080,3191.7,,23.7,720.8265,7,322,8.535,18.4,NA,235.3025,1887.7415,0,159.9925,309.3175,378.6535,5.259,50.5245,0,0,4.3075,0,101.5435,10.577,Day 7,3423.676,3449.619,-0.37744633396354
